Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID
1,CA-2016-152156,11/08/2016,11/11/2016,Second Class,CG-12520,FUR-BO-10001798
2,CA-2016-152156,11/08/2016,11/11/2016,Second Class,CG-12520,FUR-CH-10000454
3,CA-2016-138688,06/12/2016,6/16/2016,Second Class,DV-13045,OFF-LA-10000240
4,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,FUR-TA-10000577
5,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,OFF-ST-10000760
6,CA-2014-115812,06/09/2014,6/14/2014,Standard Class,BH-11710,FUR-FU-10001487
7,CA-2014-115812,06/09/2014,6/14/2014,Standard Class,BH-11710,OFF-AR-10002833
8,CA-2014-115812,06/09/2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002275
9,CA-2014-115812,06/09/2014,6/14/2014,Standard Class,BH-11710,OFF-BI-10003910
10,CA-2014-115812,06/09/2014,6/14/2014,Standard Class,BH-11710,OFF-AP-10002892
11,CA-2014-115812,06/09/2014,6/14/2014,Standard Class,BH-11710,FUR-TA-10001539
12,CA-2014-115812,06/09/2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002033
13,CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,OFF-PA-10002365
14,CA-2016-161389,12/05/2016,12/10/2016,Standard Class,IM-15070,OFF-BI-10003656
15,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,OFF-AP-10002311
16,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,OFF-BI-10000756
17,CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,OFF-ST-10004186
18,CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,OFF-ST-10000107
19,CA-2014-143336,8/27/2014,09/01/2014,Second Class,ZD-21925,OFF-AR-10003056
20,CA-2014-143336,8/27/2014,09/01/2014,Second Class,ZD-21925,TEC-PH-10001949
21,CA-2014-143336,8/27/2014,09/01/2014,Second Class,ZD-21925,OFF-BI-10002215
22,CA-2016-137330,12/09/2016,12/13/2016,Standard Class,KB-16585,OFF-AR-10000246
23,CA-2016-137330,12/09/2016,12/13/2016,Standard Class,KB-16585,OFF-AP-10001492
24,US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,FUR-CH-10002774
25,CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,FUR-TA-10000577
26,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,OFF-BI-10001634
27,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,TEC-AC-10003027
28,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,FUR-BO-10004834
29,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-BI-10000474
30,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,FUR-FU-10004848
31,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-EN-10001509
32,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-AR-10004042
33,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-BI-10001525
34,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-AR-10001683
35,CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,OFF-PA-10000249
36,CA-2016-117590,12/08/2016,12/10/2016,First Class,GH-14485,TEC-PH-10004977
