Row ID,Product ID,Sales,Quantity,Discount,Profit
1,FUR-BO-10001798,261.96,2,0,41.9136
2,FUR-CH-10000454,731.94,3,0,219.582
3,OFF-LA-10000240,14.62,2,0,6.8714
4,FUR-TA-10000577,957.5775,5,0.45,-383.031
5,OFF-ST-10000760,22.368,2,0.2,2.5164
6,FUR-FU-10001487,48.86,7,0,14.1694
7,OFF-AR-10002833,7.28,4,0,1.9656
8,TEC-PH-10002275,907.152,6,0.2,90.7152
9,OFF-BI-10003910,18.504,3,0.2,5.7825
10,OFF-AP-10002892,114.9,5,0,34.47
11,FUR-TA-10001539,1706.184,9,0.2,85.3092
12,TEC-PH-10002033,911.424,4,0.2,68.3568
13,OFF-PA-10002365,15.552,3,0.2,5.4432
14,OFF-BI-10003656,407.976,3,0.2,132.5922
15,OFF-AP-10002311,68.81,5,0.8,-123.858
16,OFF-BI-10000756,2.544,3,0.8,-3.816
17,OFF-ST-10004186,665.88,6,0,13.3176
18,OFF-ST-10000107,55.5,2,0,9.99
19,OFF-AR-10003056,8.56,2,0,2.4824
20,TEC-PH-10001949,213.48,3,0.2,16.011
21,OFF-BI-10002215,22.72,4,0.2,7.384
22,OFF-AR-10000246,19.46,7,0,5.0596
23,OFF-AP-10001492,60.34,7,0,15.6884
24,FUR-CH-10002774,71.372,2,0.3,-1.0196
25,FUR-TA-10000577,1044.63,3,0,240.2649
26,OFF-BI-10001634,11.648,2,0.2,4.2224
27,TEC-AC-10003027,90.57,3,0,11.7741
28,FUR-BO-10004834,3083.43,7,0.5,-1665.0522
29,OFF-BI-10000474,9.618,2,0.7,-7.0532
30,FUR-FU-10004848,124.2,3,0.2,15.525
31,OFF-EN-10001509,3.264,2,0.2,1.1016
32,OFF-AR-10004042,86.304,6,0.2,9.7092
33,OFF-BI-10001525,6.858,6,0.7,-5.715
34,OFF-AR-10001683,15.76,2,0.2,3.546
35,OFF-PA-10000249,29.472,3,0.2,9.9468
36,TEC-PH-10004977,1097.544,7,0.2,123.4737
37,FUR-FU-10003664,190.92,5,0.6,-147.963
38,OFF-EN-10002986,113.328,9,0.2,35.415
39,FUR-BO-10002545,532.3992,3,0.32,-46.9764
40,FUR-CH-10004218,212.058,3,0.3,-15.147
41,TEC-PH-10000486,371.168,4,0.2,41.7564
42,TEC-PH-10004093,147.168,4,0.2,16.5564
43,OFF-ST-10003479,77.88,2,0,3.894
44,OFF-ST-10003282,95.616,2,0.2,9.5616
45,TEC-AC-10000171,45.98,2,0,19.7714
46,OFF-BI-10003291,17.46,2,0,8.2062
47,OFF-ST-10001713,211.96,4,0,8.4784
48,TEC-AC-10002167,45,3,0,4.95
49,TEC-PH-10003988,21.8,2,0,6.104
50,OFF-BI-10004410,38.22,6,0,17.9634
51,OFF-LA-10002762,75.18,6,0,35.3346
52,FUR-FU-10001706,6.16,2,0,2.9568
53,FUR-CH-10003061,89.99,1,0,17.0981
54,OFF-FA-10000304,15.26,7,0,6.2566
55,TEC-PH-10002447,1029.95,5,0,298.6855
56,OFF-ST-10000604,208.56,6,0,52.14
57,OFF-PA-10001569,32.4,5,0,15.552
58,FUR-CH-10003968,319.41,5,0.1,7.098
59,OFF-PA-10000587,14.56,2,0,6.9888
60,TEC-AC-10002167,30,2,0,3.3
61,OFF-BI-10001460,48.48,4,0.2,16.362
62,OFF-AR-10001868,1.68,1,0,0.84
63,TEC-AC-10004633,13.98,2,0,6.1512
64,OFF-BI-10001078,25.824,6,0.2,9.3612
65,OFF-PA-10003892,146.73,3,0,68.9631
66,FUR-FU-10000397,79.76,4,0,22.3328
67,FUR-CH-10001146,213.115,5,0.3,-15.2225
68,OFF-AR-10002671,1113.024,8,0.2,111.3024
69,TEC-PH-10002726,167.968,4,0.2,62.988
70,OFF-PA-10000482,75.88,2,0,35.6636
71,OFF-BI-10004654,4.616,1,0.2,1.731
72,OFF-PA-10004675,19.05,3,0,8.763
73,FUR-CH-10000513,831.936,8,0.2,-114.3912
74,FUR-FU-10003708,97.04,2,0.2,1.213
75,OFF-ST-10004123,72.784,1,0.2,-18.196
76,OFF-BI-10004182,1.248,3,0.8,-1.9344
77,FUR-FU-10000260,9.708,3,0.6,-5.8248
78,OFF-ST-10000615,27.24,3,0.2,2.724
79,FUR-FU-10003194,19.3,5,0.6,-14.475
80,OFF-AP-10002118,208.16,1,0,56.2032
81,OFF-BI-10002309,16.74,3,0,8.0352
82,OFF-AR-10002053,14.9,5,0,4.172
83,OFF-ST-10002370,21.39,1,0,6.2031
84,OFF-EN-10000927,200.984,7,0.2,62.8075
85,OFF-ST-10003656,230.376,3,0.2,-48.9549
86,FUR-CH-10000863,301.96,2,0,33.2156
87,TEC-AC-10001998,19.99,1,0,6.7966
88,OFF-LA-10000134,6.16,2,0,2.9568
89,OFF-ST-10003442,158.368,7,0.2,13.8572
90,OFF-AR-10004930,20.1,3,0,6.633
91,TEC-PH-10004093,73.584,2,0.2,8.2782
92,OFF-PA-10000304,6.48,1,0,3.1104
93,OFF-PA-10003177,12.96,2,0,6.2208
94,FUR-FU-10003799,53.34,3,0,16.5354
95,OFF-BI-10002852,32.96,2,0,16.1504
96,OFF-BI-10004738,5.682,1,0.7,-3.788
97,FUR-FU-10000629,96.53,7,0,40.5426
98,OFF-BI-10001721,51.312,3,0.2,17.9592
99,OFF-AP-10000358,77.88,6,0,22.5852
100,OFF-PA-10003256,64.624,7,0.2,22.6184
101,TEC-AC-10001767,95.976,3,0.2,-10.7973
102,OFF-BI-10002609,1.788,3,0.8,-3.0396
103,OFF-PA-10004040,23.92,4,0,11.7208
104,TEC-AC-10001552,238.896,6,0.2,-26.8758
105,FUR-FU-10004006,102.36,3,0.2,-3.8385
106,OFF-BI-10002794,36.882,3,0.7,-25.8174
107,TEC-AC-10003499,74.112,8,0.2,17.6016
108,TEC-PH-10002844,27.992,1,0.2,2.0994
109,OFF-AR-10000390,3.304,1,0.2,1.0738
110,TEC-AC-10000844,339.96,5,0.2,67.992
111,FUR-FU-10001934,41.96,2,0,10.9096
112,OFF-AR-10000380,75.96,2,0,22.788
113,OFF-BI-10003981,27.24,6,0,13.3476
114,OFF-FA-10000621,40.096,14,0.2,14.5348
115,OFF-EN-10002600,4.72,2,0.2,1.652
116,OFF-PA-10004965,23.976,3,0.2,7.4925
117,OFF-EN-10002504,130.464,6,0.2,44.0316
118,FUR-TA-10001768,787.53,3,0,165.3813
119,OFF-BI-10003650,157.794,1,0.7,-115.7156
120,FUR-FU-10002157,47.04,3,0,18.3456
121,OFF-BI-10003910,30.84,4,0,13.878
122,OFF-ST-10000777,226.56,6,0,63.4368
123,OFF-EN-10002500,115.02,9,0,51.759
124,TEC-PH-10003875,68.04,7,0,19.7316
125,FUR-CH-10004063,600.558,3,0.3,-8.5794
126,FUR-TA-10004534,617.7,6,0.5,-407.682
127,OFF-BI-10003274,2.388,2,0.7,-1.8308
128,OFF-ST-10002974,243.992,7,0.2,30.499
129,FUR-CH-10001146,81.424,2,0.2,-9.1602
130,FUR-FU-10003773,238.56,3,0,26.2416
131,TEC-PH-10002293,59.97,5,0.4,-11.994
132,OFF-PA-10002377,78.304,2,0.2,29.364
133,OFF-FA-10002780,21.456,9,0.2,6.9732
134,OFF-PA-10001804,20.04,3,0,9.6192
135,OFF-PA-10001736,35.44,1,0,16.6568
136,OFF-AR-10001149,11.52,4,0,3.456
137,OFF-FA-10002988,4.02,2,0,1.9698
138,OFF-BI-10004781,76.176,3,0.2,26.6616
139,OFF-SU-10001218,65.88,6,0,18.4464
140,FUR-FU-10001706,43.12,14,0,20.6976
141,FUR-FU-10004848,82.8,2,0.2,10.35
142,OFF-AR-10000940,8.82,3,0,2.3814
143,OFF-EN-10004030,10.86,3,0,5.1042
144,OFF-PA-10004327,143.7,3,0,68.976
145,OFF-AP-10001058,839.43,3,0,218.2518
146,OFF-ST-10003656,671.93,7,0,20.1579
147,FUR-FU-10000521,93.888,4,0.2,12.9096
148,TEC-PH-10000215,384.45,11,0,103.8015
149,TEC-PH-10001448,149.97,3,0,5.9988
150,FUR-CH-10000454,1951.84,8,0,585.552
151,OFF-BI-10002735,171.55,5,0,80.6285
152,OFF-AP-10000326,157.92,5,0.2,17.766
153,TEC-PH-10001254,203.184,2,0.2,15.2388
154,OFF-PA-10001950,58.38,7,0,26.271
155,OFF-PA-10002254,105.52,4,0,48.5392
156,OFF-ST-10001590,80.88,6,0,21.0288
157,OFF-AR-10001547,6.63,3,0,1.7901
158,FUR-CH-10004063,457.568,2,0.2,51.4764
159,OFF-LA-10002475,14.62,2,0,6.8714
160,TEC-PH-10004536,944.93,7,0,236.2325
161,OFF-PA-10002751,5.98,1,0,2.691
162,TEC-AC-10003657,54.384,2,0.2,1.3596
163,OFF-EN-10001990,28.4,5,0,13.348
164,OFF-BI-10004002,27.68,2,0.2,9.688
165,OFF-AR-10004441,9.936,3,0.2,2.7324
166,TEC-MA-10000822,8159.952,8,0.4,-1359.992
167,OFF-ST-10000991,275.928,3,0.2,-58.6347
168,FUR-CH-10004287,1740.06,9,0.3,-24.858
169,OFF-AR-10002656,32.064,6,0.2,6.8136
170,OFF-AP-10002518,177.98,5,0.8,-453.849
171,TEC-PH-10003931,143.976,3,0.2,8.9985
172,OFF-PA-10000659,20.94,3,0,9.8418
173,OFF-PA-10001144,110.96,2,0,53.2608
174,FUR-CH-10003817,340.144,7,0.2,21.259
175,OFF-AP-10000891,52.448,2,0.8,-131.12
176,OFF-LA-10003148,20.16,4,0.2,6.552
177,OFF-AP-10002684,97.264,4,0.8,-243.16
178,FUR-CH-10004698,396.802,7,0.3,-11.3372
179,OFF-SU-10002189,15.88,5,0.2,-3.7715
180,OFF-AR-10001940,3.28,1,0,1.4104
181,OFF-ST-10003455,24.816,2,0.2,1.8612
182,TEC-AC-10004659,408.744,7,0.2,76.6395
183,TEC-PH-10003273,503.96,4,0,131.0296
184,TEC-PH-10004896,149.95,5,0,41.986
185,TEC-AC-10002345,29,2,0,7.25
186,OFF-BI-10001890,7.16,2,0,3.4368
187,TEC-AC-10002323,176.8,8,0,22.984
188,OFF-ST-10001328,37.224,3,0.2,3.7224
189,OFF-PA-10001950,20.016,3,0.2,6.255
190,FUR-BO-10002613,899.136,4,0.2,112.392
191,TEC-PH-10001552,71.76,6,0,20.0928
192,OFF-PA-10000061,51.84,8,0,24.8832
193,FUR-BO-10002545,626.352,3,0.2,46.9764
194,OFF-AR-10003514,19.9,5,0,6.567
195,OFF-EN-10001509,14.28,7,0,6.7116
196,OFF-AR-10004685,7.408,2,0.2,1.2038
197,OFF-AR-10004027,6.048,3,0.2,1.5876
198,OFF-ST-10001414,46.26,3,0,12.0276
199,OFF-BI-10000343,2.946,2,0.7,-2.2586
200,OFF-PA-10002749,16.056,3,0.2,5.8203
201,OFF-PA-10002666,21.744,3,0.2,6.795
202,FUR-TA-10004289,218.75,2,0.5,-161.875
203,OFF-AP-10003622,2.6,1,0.2,0.2925
204,OFF-AP-10003217,66.284,2,0.8,-178.9668
205,FUR-FU-10002960,35.168,7,0.2,9.6712
206,TEC-PH-10001918,444.768,4,0.2,44.4768
207,OFF-ST-10000642,83.92,4,0,5.8744
208,TEC-PH-10001700,131.98,2,0,35.6346
209,OFF-BI-10003274,15.92,4,0,7.4824
210,OFF-FA-10000134,52.29,9,0,16.2099
211,OFF-ST-10001522,91.99,1,0,3.6796
212,TEC-AC-10001266,20.8,2,0.2,6.5
213,OFF-LA-10004544,23.68,2,0.2,8.88
214,FUR-BO-10004695,452.45,5,0.5,-244.323
215,TEC-PH-10002844,62.982,3,0.4,-14.6958
216,TEC-MA-10000864,1188,9,0.7,-950.4
217,TEC-AC-10000109,89.584,2,0.2,4.4792
218,OFF-ST-10001328,93.06,6,0,26.0568
219,TEC-PH-10002563,302.376,3,0.2,22.6782
220,OFF-FA-10000585,5.584,2,0.2,1.8148
221,OFF-PA-10004000,22.704,6,0.2,8.2302
222,OFF-BI-10002852,19.776,4,0.7,-13.8432
223,FUR-FU-10000087,72.704,4,0.2,19.0848
224,TEC-MA-10001148,479.988,4,0.7,-383.9904
225,OFF-AR-10001958,27.168,2,0.2,2.7168
226,OFF-AR-10001026,2.2,1,0,0.968
227,FUR-TA-10003748,622.45,5,0,136.939
228,OFF-ST-10002485,21.98,1,0,0.2198
229,FUR-CH-10004860,161.568,2,0.2,-28.2744
230,FUR-CH-10004477,389.696,8,0.2,43.8408
231,OFF-BI-10001679,18.648,7,0.7,-12.432
232,FUR-TA-10001705,233.86,2,0.45,-102.048
233,FUR-TA-10003473,620.6145,3,0.45,-248.2458
234,OFF-BI-10001679,5.328,2,0.7,-3.552
235,FUR-FU-10004017,258.072,3,0.2,0
236,TEC-AC-10003832,617.976,3,0.2,-7.7247
237,OFF-PA-10002479,10.56,2,0,4.752
238,OFF-PA-10003349,25.92,5,0.2,9.396
239,FUR-FU-10000576,419.68,5,0.6,-356.728
